ticket_id,user_id,order_id,subject,message,category,priority,status,created_at,resolved_at
TICKET00025,USER00450,,Order inquiry,"Moment wind bar. Senior official crime act throw.
Tree game so. Computer someone lot plan world very.",order_issue,medium,pending,2025-10-25 00:00:00,
TICKET00026,USER00376,ORD001597,Address change,Provide put nearly week throw majority third factor. Media I find outside.,general,medium,in_progress,2025-05-27 00:00:00,
TICKET00027,USER00034,,Product question,Guess add score section wide pay approach. Break smile believe these soldier. Yard religious able cover door south.,product_question,low,resolved,2025-04-26 00:00:00,2025-04-27 12:00:00
TICKET00028,USER00284,,Product question,"Discuss here fall tough well. Black as beat large own. Far let school animal several page PM gun.
Our report accept stop. Including kid speak point church individual. Half hard line it gun.",general,low,in_progress,2025-12-15 00:00:00,
TICKET00029,USER00185,ORD000563,Order inquiry,Cold cover third key explain professor oil happen. Marriage court campaign many.,return,medium,resolved,2024-08-17 00:00:00,2024-08-18 11:00:00
TICKET00030,USER00017,,Product complaint,"Whom keep avoid pull data. Type like success research. Of two radio I.
Toward fish apply goal science. Court account business. Value idea trade left.",payment,medium,resolved,2025-04-24 00:00:00,2025-04-25 05:00:00
TICKET00031,USER00006,,Delivery issue,"Western instead activity as as simple. Fact candidate human arm thus join. System avoid inside exactly.
Field produce would attorney. Effect your first factor.",order_issue,medium,in_progress,2024-12-04 00:00:00,
TICKET00032,USER00467,,Delivery issue,"Reduce party draw try institution five ask send. Interesting foot seven do water.
Society act almost food start billion real degree. Use politics fact interesting.",order_issue,low,in_progress,2025-03-06 00:00:00,
TICKET00033,USER00582,ORD000659,Return request,Receive follow teach everything. Major study drive environment development.,return,medium,resolved,2025-09-24 00:00:00,2025-09-26 07:00:00
TICKET00034,USER00448,ORD000163,Refund request,"Scene grow north. Right price great out low now.
Most land check huge. However day these. Play commercial baby vote believe others technology along.",order_issue,high,resolved,2024-10-16 00:00:00,2024-10-16 11:00:00
TICKET00035,USER00164,ORD000157,Product question,There chance step civil. Western control hope marriage get. Mind general series investment interesting. Record when end country social market remain.,delivery,low,resolved,2025-12-26 00:00:00,2025-12-26 17:00:00
TICKET00036,USER00057,ORD000974,Refund request,Continue keep draw loss born. Lay pay pattern century anyone teacher forget. Career where soldier difficult thank political trade. Hair ready school natural manager song relationship.,general,low,resolved,2025-02-13 00:00:00,2025-02-14 16:00:00
TICKET00037,USER00102,ORD000292,Product question,"Bill thousand available pretty. Blood little could. Concern employee window.
Strategy speech represent theory color cause role. Direction color almost machine.",delivery,low,resolved,2025-04-30 00:00:00,2025-04-30 11:00:00
TICKET00038,USER00582,ORD000885,Delivery issue,There when day peace buy wear born. Control heart approach according yet other land. Blood discussion understand successful feeling research.,payment,medium,in_progress,2025-12-14 00:00:00,
TICKET00039,USER00502,,Delivery issue,"Fly discussion green.
Candidate daughter enough rich project single agree. Specific north second military focus south carry. Exactly loss wish shake which middle save.",delivery,medium,resolved,2025-08-24 00:00:00,2025-08-24 14:00:00
TICKET00040,USER00094,ORD001268,Delivery issue,Popular production husband she. Bed of would responsibility recent. Writer opportunity front detail.,product_question,low,in_progress,2025-03-03 00:00:00,
TICKET00041,USER00585,ORD001660,Address change,And century benefit consumer. Large realize camera it establish. During growth smile fly should war strong.,order_issue,low,in_progress,2025-09-23 00:00:00,
TICKET00042,USER00234,ORD001407,Order inquiry,Teacher visit section everyone itself week land. Sister station language family control wide employee. Tough wind TV type program information.,product_question,medium,pending,2025-06-04 00:00:00,
TICKET00043,USER00371,ORD000592,Address change,"Difference election physical field.
Scene much hold long number successful.
Grow mind accept any American family. Fall include support.",order_issue,low,resolved,2025-12-21 00:00:00,2025-12-21 18:00:00
TICKET00044,USER00561,ORD001877,Address change,"Kitchen art whom morning recent own. Become medical color throughout.
Computer price art push happy form. Final board vote. Test upon audience market author item.",delivery,low,in_progress,2025-09-26 00:00:00,
TICKET00045,USER00284,ORD001137,Product question,Business learn line class film. Between member turn everyone order executive.,payment,medium,pending,2025-09-18 00:00:00,
TICKET00046,USER00157,ORD000806,Product complaint,"Leader response without begin teacher trip federal morning. Yeah after above produce his surface tell.
Doctor wife oil popular eye scientist. Management adult whatever sell long program purpose.",delivery,medium,in_progress,2025-11-13 00:00:00,
TICKET00047,USER00129,,Refund request,Realize bank build couple. Clear stuff call officer possible decision. Itself often suddenly suggest most great sell.,order_issue,low,resolved,2024-07-02 00:00:00,2024-07-04 17:00:00
TICKET00048,USER00087,ORD001350,Product complaint,Wide you seek recent. Happy example pay along store per.,order_issue,medium,in_progress,2025-04-25 00:00:00,
TICKET00049,USER00304,ORD000358,Return request,"Sister rate civil up like. Person receive central home force medical news. Water new yard success.
Stage age important interest particular all. Sing itself themselves enough.",order_issue,low,resolved,2025-10-21 00:00:00,2025-10-22 14:00:00
TICKET00050,USER00111,ORD000181,Product question,Cause make information explain yet. Born cover quite old against student likely community. Compare already hold available interview live artist person.,order_issue,low,pending,2025-10-09 00:00:00,
TICKET00051,USER00357,,Product complaint,"Story it team compare. Perhaps best about recent pull.
Party brother reason occur feel too always attention. My network year town. Itself ground give with president.
Step none town wonder yeah.",general,low,resolved,2024-11-01 00:00:00,2024-11-03 03:00:00
TICKET00052,USER00084,,Order cancellation,"Little carry society yet offer sport husband. Another success good citizen kitchen paper.
Push reflect early letter house. Responsibility several maintain those safe they money.",delivery,low,resolved,2025-12-16 00:00:00,2025-12-17 19:00:00
TICKET00053,USER00521,,Address change,"Help per some finish strong example season magazine. Program anyone adult after.
Least bill attorney. Simply evidence skill eat argue unit institution just.",order_issue,low,in_progress,2025-11-08 00:00:00,
TICKET00054,USER00559,,Payment issue,Kitchen different themselves spend local reason. Would realize every course. Growth week soon your according want relationship.,general,low,resolved,2025-10-30 00:00:00,2025-11-01 13:00:00
TICKET00055,USER00398,ORD001636,Address change,"We quality end work. Back modern free suffer order unit.
Trip finish be wear.
My among everybody likely ask news. Yes allow field.
Thus second two remain.",return,medium,pending,2025-12-23 00:00:00,
TICKET00056,USER00532,ORD000033,Product complaint,"Either maybe through heavy first glass.
Conference husband end arm. Theory production realize increase body rock man table.
City since body break no still best. Hard news water nothing.",return,low,resolved,2025-12-06 00:00:00,2025-12-08 18:00:00
TICKET00057,USER00376,ORD000760,Order inquiry,Affect much record summer ask standard dinner protect. Woman think improve edge pay yes. Fall effort in.,order_issue,low,resolved,2025-11-23 00:00:00,2025-11-23 15:00:00
TICKET00058,USER00439,ORD001771,Order cancellation,In bit another edge tend situation. Also someone it bag story lead. Report Mr accept tonight.,payment,medium,pending,2025-12-31 00:00:00,
TICKET00059,USER00219,ORD001568,Order cancellation,"Week option character. Citizen weight seat performance movement cultural.
Size approach model office color. Generation once environment. Read physical significant opportunity suggest.",delivery,high,resolved,2025-07-16 00:00:00,2025-07-18 18:00:00
TICKET00060,USER00421,,Payment issue,"Themselves collection another president responsibility leader. Top until people those performance.
Hot together send itself. Charge occur then why must however. History would car growth wonder.",general,high,resolved,2025-07-17 00:00:00,2025-07-17 13:00:00
TICKET00061,USER00485,ORD001213,Return request,Player explain bring argue anything. Join follow fall. Yeah whose drive represent speak.,general,low,resolved,2025-09-07 00:00:00,2025-09-09 05:00:00
TICKET00062,USER00153,ORD001338,Order inquiry,Level particular anything store fire. Start around like call pressure officer civil.,payment,low,resolved,2025-01-04 00:00:00,2025-01-04 07:00:00
TICKET00063,USER00091,,Address change,"Civil clearly for able clearly fire.
Have cause movie. Floor have argue country.
Life begin just member public. Add guess decade tend second build.",order_issue,low,in_progress,2025-12-11 00:00:00,
TICKET00064,USER00521,,Product complaint,"Page study democratic sign list record certainly similar. Occur true enter difficult let partner among. Purpose condition data any.
Include in animal ball feeling spend.",product_question,low,in_progress,2025-06-19 00:00:00,
TICKET00065,USER00011,,Delivery issue,"Glass really base fill school fire. Window evidence weight necessary bring all myself floor.
High discussion president without move. Nearly look improve direction wish service campaign account.",order_issue,low,resolved,2025-07-26 00:00:00,2025-07-28 06:00:00
TICKET00066,USER00351,ORD000910,Address change,"Sing early strong.
Investment field always matter check amount. Less live media industry. Dark me ground wife magazine morning.",order_issue,medium,resolved,2025-09-12 00:00:00,2025-09-12 19:00:00
TICKET00067,USER00265,ORD000166,Product complaint,"Identify month world community power. These name off action. Simple together table mean traditional as.
Onto find tend hard name entire follow. Institution simply quality.",product_question,low,in_progress,2025-09-09 00:00:00,
TICKET00068,USER00425,ORD001254,Order cancellation,"East effort tonight five help reality trouble. Hit consumer describe prove.
Institution institution road. Argue two paper official play. Development agency material new success.",general,low,resolved,2025-06-26 00:00:00,2025-06-26 19:00:00
TICKET00069,USER00206,,Return request,"Year bag skill floor music.
Place keep research exist cold. Subject protect hold case.
Own whole edge cultural book wish city difficult. Goal tell local. Care month station TV key ever.",product_question,medium,resolved,2025-12-20 00:00:00,2025-12-20 21:00:00
TICKET00070,USER00038,,Payment issue,Occur area leg career. Line even item age fire similar. Direction clear response until. Imagine Mr despite door career data movie.,delivery,low,resolved,2025-07-13 00:00:00,2025-07-15 21:00:00
TICKET00071,USER00136,,Address change,Appear baby state. Technology talk PM already son away. Situation note tax according others involve green program.,order_issue,low,in_progress,2026-01-10 00:00:00,
TICKET00072,USER00183,,Refund request,"Professor near media throw rather station. Material when citizen in.
Start too now black see arrive. Quickly identify traditional ten sport behavior protect. A chair almost against especially.",delivery,medium,pending,2025-12-16 00:00:00,
TICKET00073,USER00309,ORD001260,Order cancellation,Thousand public enjoy bank in church hear. Theory court stuff tough near return gas.,order_issue,high,resolved,2025-02-06 00:00:00,2025-02-06 16:00:00
TICKET00074,USER00095,ORD001981,Order inquiry,Leader evidence poor expert direction response certainly. Generation lead investment try material. There approach young together wall. Energy PM hotel ever.,delivery,low,pending,2025-08-20 00:00:00,
TICKET00075,USER00451,ORD001221,Return request,"Building me interest media. Like simple whose term conference middle author garden.
Nor nothing gun support more end enough. Throughout go bring challenge side expert. Every respond level agree sign.",general,medium,resolved,2025-06-01 00:00:00,2025-06-01 18:00:00
TICKET00076,USER00580,ORD001457,Address change,"Final charge will memory floor energy. Window measure design less will appear around.
Agent he population after I candidate.
Kitchen conference effort prevent. Candidate friend check when many.",order_issue,medium,resolved,2024-05-19 00:00:00,2024-05-21 00:00:00
TICKET00077,USER00166,ORD001356,Payment issue,Feel everyone blue quickly only purpose word. Laugh responsibility notice month hundred chair.,return,low,in_progress,2025-09-29 00:00:00,
TICKET00078,USER00430,,Delivery issue,Story see teacher here piece central sort soon. Commercial more film.,order_issue,low,resolved,2025-12-27 00:00:00,2025-12-27 15:00:00
TICKET00079,USER00049,ORD000996,Order cancellation,Expert successful his cost house middle particularly. Create baby think clear employee soldier.,product_question,low,pending,2026-01-24 00:00:00,
TICKET00080,USER00065,,Return request,Need according offer usually stock. Land professor such late type program increase.,return,high,pending,2025-10-15 00:00:00,
TICKET00081,USER00062,ORD000575,Payment issue,"Impact I learn heavy act begin four respond. Evening ability ball would hot.
Law reason left information politics show. Guy leader court cause poor look. Base around able mind pass.",return,medium,resolved,2025-09-02 00:00:00,2025-09-04 12:00:00
TICKET00082,USER00091,,Return request,"Week free sure today detail structure. Focus simply them.
Others week remember audience through individual official. Various sort help goal.",return,low,in_progress,2025-12-24 00:00:00,
TICKET00083,USER00130,,Refund request,Participant push billion offer expect kitchen. Us hold any leave pattern still television. Painting us despite message.,return,low,in_progress,2025-08-31 00:00:00,
TICKET00084,USER00191,,Order cancellation,"Require ask foot maintain four write administration.
His teach risk because structure. Land rule whose everybody movie trade.
Sell if visit politics strategy. Political last information for.",payment,medium,pending,2025-01-05 00:00:00,
TICKET00085,USER00542,ORD000375,Product question,Ago total order. It figure out art girl. Assume better set pattern traditional manager north. Yourself reflect with performance.,payment,medium,pending,2024-07-02 00:00:00,
TICKET00086,USER00507,ORD000325,Return request,"Team investment police that home. Local level charge participant.
Important tend anyone. Garden million without.",order_issue,low,pending,2025-11-19 00:00:00,
TICKET00087,USER00269,ORD000646,Payment issue,Language operation participant concern. Rather particularly plant life. Population beyond establish whole get.,delivery,low,pending,2025-12-21 00:00:00,
TICKET00088,USER00113,ORD001447,Order inquiry,"Probably growth have cup everything Mrs consider drop. Bring finish tax.
Own single public have wind decision. Several gun happy wish church various like. Mean democratic manager.",delivery,low,in_progress,2025-08-07 00:00:00,
TICKET00089,USER00600,ORD001871,Order cancellation,"For join necessary make though health. Inside else real. Result and throw site color throughout.
Teach must mind cost same miss security.",return,medium,in_progress,2025-07-21 00:00:00,
TICKET00090,USER00558,ORD001593,Refund request,Health after base cup career wait section. Structure short stop themselves visit. Live front here recently meeting put.,delivery,low,resolved,2025-11-09 00:00:00,2025-11-09 02:00:00
TICKET00091,USER00046,ORD001422,Order inquiry,"Worker than hospital still laugh. Suddenly service main service establish explain.
Phone unit choice college. Must theory day.
Story put son capital not safe. Decide arm avoid question.",general,low,resolved,2025-10-22 00:00:00,2025-10-23 23:00:00
TICKET00092,USER00089,ORD000299,Product complaint,Fill control medical. Some black arm instead course actually heavy. Prepare practice indeed computer phone rather.,order_issue,high,resolved,2025-11-09 00:00:00,2025-11-09 08:00:00
TICKET00093,USER00561,ORD001108,Product question,"Agent sister including ahead practice word. Experience site evening soon maintain single subject.
Teach research manager many indicate tell. Simply authority onto range mean.",product_question,medium,resolved,2025-08-17 00:00:00,2025-08-18 12:00:00
TICKET00094,USER00261,ORD000532,Product complaint,"Assume moment section. Leg out require realize direction. City hit people key.
Describe capital defense. Authority month language seem. Concern each cell task moment.",delivery,low,resolved,2024-12-21 00:00:00,2024-12-23 10:00:00
TICKET00095,USER00580,ORD001194,Refund request,"Least probably Congress food.
Test college crime present avoid production. Computer sure present.",order_issue,low,resolved,2024-12-26 00:00:00,2024-12-29 00:00:00
TICKET00096,USER00147,,Order inquiry,"Its successful daughter. Director whether gun born I could. For attention fine street.
Voice magazine along thus program special. Beyond determine by option kitchen area.",return,low,resolved,2026-01-14 00:00:00,2026-01-15 02:00:00
TICKET00097,USER00527,ORD000037,Return request,"Somebody fear hot.
Guess begin financial mind possible environmental guy. Different eight plan. Test guess respond risk week home.
Around maybe several trip. Cell college believe.",general,medium,in_progress,2026-01-03 00:00:00,
TICKET00098,USER00517,ORD001018,Address change,Plant sort exactly behind hot city certainly. Physical exist cultural page issue interesting they. Story police six clearly central about suddenly.,payment,high,resolved,2025-05-25 00:00:00,2025-05-27 17:00:00
TICKET00099,USER00113,ORD000364,Order inquiry,Great whatever which anyone physical today. Rest glass like wind interesting true. Specific reach order data. Behavior west particular not wait end arm miss.,return,low,resolved,2024-12-22 00:00:00,2024-12-23 01:00:00
TICKET00100,USER00548,,Return request,Effort behavior instead yes national. Get unit man entire all home within.,product_question,low,resolved,2025-01-10 00:00:00,2025-01-12 19:00:00
TICKET00101,USER00518,,Delivery issue,Result student yourself heavy less. Him former answer end good seat. Possible your wall easy.,payment,high,resolved,2025-11-18 00:00:00,2025-11-18 18:00:00
TICKET00102,USER00211,ORD000267,Order cancellation,Brother several business stuff social more single. Morning day painting yourself. Sure fund address.,product_question,medium,resolved,2026-01-19 00:00:00,2026-01-19 15:00:00
TICKET00103,USER00007,ORD000308,Payment issue,"Suddenly thing official. Own within fall. Give religious agency job want.
Easy lawyer its debate poor. Bring reality plant seat head.",delivery,medium,resolved,2025-12-30 00:00:00,2025-12-30 05:00:00
TICKET00104,USER00478,ORD001454,Product complaint,"For if fly. Under enter rate final. Throughout however prepare.
We sister know specific. Beat plan issue usually special physical on.",order_issue,low,in_progress,2026-01-21 00:00:00,
TICKET00105,USER00352,,Order inquiry,"Source see central buy. Science expert high to. Knowledge effort much.
Find exactly who use soldier individual. Later visit create present sing.",product_question,high,resolved,2025-09-09 00:00:00,2025-09-10 05:00:00
TICKET00106,USER00543,,Order cancellation,"Today meet per seem provide.
Way southern continue money color. Level energy help until.
Design space strong back nor ready might. Later card charge scene minute. Figure according director.",general,medium,in_progress,2025-07-08 00:00:00,
TICKET00107,USER00514,,Delivery issue,"Together process control read movement alone. Because however as anything. Each financial trial list minute.
Choice manage our. Line including real. Most audience full air onto.",delivery,medium,resolved,2025-10-17 00:00:00,2025-10-19 22:00:00
TICKET00108,USER00296,ORD000280,Product complaint,"Economic first still instead might chance. Amount cold feel memory. Teacher beat it threat.
Year stage home need ask. Evidence make yet everybody worker support no.
Far black worker tell also.",product_question,low,in_progress,2025-09-27 00:00:00,
TICKET00109,USER00382,,Product complaint,Agent indeed serve particularly practice forward. Relationship imagine notice old. Growth listen avoid include nature popular.,payment,low,in_progress,2026-01-10 00:00:00,
TICKET00110,USER00123,ORD000907,Delivery issue,"Available win up message recently key. Must not coach serve though.
Example environmental food. Goal suggest market artist. Worry speech community four.",payment,low,in_progress,2026-01-14 00:00:00,
TICKET00111,USER00103,,Return request,"Five build model since big stay. Truth able many rise maybe person deal. Dog performance allow put.
Fact grow amount thought idea large half little. Her play new win rate program prove. Six hour the.",product_question,low,resolved,2025-08-08 00:00:00,2025-08-09 16:00:00
TICKET00112,USER00520,,Return request,"Fall really heavy leg.
Member fall discover real. Term window foreign forward society enjoy. His course simple. Individual head dog modern.",order_issue,low,in_progress,2025-06-18 00:00:00,
TICKET00113,USER00238,ORD001796,Product complaint,"Police cover wonder visit money. Four catch sea building nor.
Partner tend citizen score parent these over. Family want audience clear social.",return,low,resolved,2025-10-24 00:00:00,2025-10-26 14:00:00
TICKET00114,USER00218,ORD001557,Product question,"Give tell window kind available race. Who apply between human.
West you paper source prevent popular sea. Even own look life. Instead finish single old brother car study figure.",product_question,low,resolved,2025-07-02 00:00:00,2025-07-02 06:00:00
TICKET00115,USER00175,ORD000293,Return request,Idea everything building push hit especially national. Subject page on owner account she. Interest north bad west business realize food. Second tonight experience.,return,low,resolved,2024-08-15 00:00:00,2024-08-16 16:00:00
TICKET00116,USER00079,ORD000630,Return request,"Evening risk lose include article. Education still clear little toward lead. The early buy education.
Large collection next think direction.",product_question,low,resolved,2026-01-03 00:00:00,2026-01-05 07:00:00
TICKET00117,USER00193,,Product question,"Sport begin word sing attack idea. Image keep she month attorney top.
Hot social budget action cup season improve. Range past instead agree education.",general,low,resolved,2025-05-14 00:00:00,2025-05-15 05:00:00
TICKET00118,USER00405,ORD001086,Payment issue,"Red tell past to.
Mouth true smile operation. Green teach focus. Plan human international industry always.
College despite become town card feel wear throughout. Until PM force ready.",order_issue,medium,in_progress,2026-01-15 00:00:00,
TICKET00119,USER00102,,Order inquiry,"Behavior environment someone. Hour her increase step protect compare offer.
Rule example add. Movement as practice there. Thousand property point happy cell eight yourself.",product_question,high,in_progress,2025-03-11 00:00:00,
TICKET00120,USER00275,ORD000171,Delivery issue,Fund spring energy conference picture. By world property institution security able. Be serve site yourself exist represent somebody.,payment,low,resolved,2025-08-05 00:00:00,2025-08-06 01:00:00
TICKET00121,USER00060,ORD000515,Address change,Shoulder individual goal capital husband age. Popular board person site give option despite keep. Draw ability budget movement her direction.,general,medium,pending,2025-07-01 00:00:00,
TICKET00122,USER00370,,Order cancellation,Plant shake decide control performance. Central throw race shoulder happy get.,return,low,resolved,2026-01-09 00:00:00,2026-01-09 02:00:00
TICKET00123,USER00023,ORD001237,Return request,"Key TV size more talk quickly not. Conference than meeting page million activity take. Owner it guess poor tax quite factor.
Send game information protect quickly help life.",product_question,low,in_progress,2025-12-13 00:00:00,
TICKET00124,USER00111,,Product question,"Game word town animal hundred thus treat.
Decade again human employee mouth. Yet couple cold chance pick effort to. Actually local player off ball.",product_question,high,resolved,2026-01-07 00:00:00,2026-01-08 07:00:00
TICKET00125,USER00327,,Payment issue,"Reason detail consumer game happen write religious.
Blood range time seem activity. Away hit player. Determine bed citizen notice another stuff manage.",payment,medium,in_progress,2025-08-12 00:00:00,
TICKET00126,USER00544,ORD000689,Product complaint,"High science world listen although. So article lawyer.
Traditional more those clearly eight myself always. Claim part mean either per want mouth.
Pretty lay same should.",delivery,medium,resolved,2026-01-23 00:00:00,2026-01-24 14:00:00
TICKET00127,USER00164,ORD001718,Delivery issue,That floor open road evidence majority owner. Street again on peace. Once personal score walk more music table fire. Side Mrs eye style cover.,return,low,resolved,2025-12-05 00:00:00,2025-12-06 23:00:00
TICKET00128,USER00440,,Payment issue,"Its fact represent way decision cause ball likely. Star play apply successful.
Clearly listen when word what rate tend. Short apply watch truth network wind sport. Movement reality require.",payment,medium,resolved,2026-01-12 00:00:00,2026-01-14 07:00:00
TICKET00129,USER00375,ORD001294,Order cancellation,"Beyond knowledge reduce might. North tonight who.
Too wind tree campaign free usually. Dark president boy actually share very move. Population ever yeah story beyond line dog.",product_question,medium,resolved,2025-11-25 00:00:00,2025-11-27 14:00:00
TICKET00130,USER00552,ORD000350,Return request,"Science air enter right think good position. Quickly somebody specific go.
Particular here property scene cell around film treat. Front opportunity away before.",order_issue,medium,resolved,2026-01-22 00:00:00,2026-01-22 22:00:00
TICKET00131,USER00230,ORD000662,Refund request,"Wife offer around. Police democratic use ever.
Imagine focus month realize usually. Kitchen pick serious TV expect certain top. Behind interesting hold behind Mr.",order_issue,medium,in_progress,2025-11-13 00:00:00,
TICKET00132,USER00521,ORD001107,Order inquiry,On friend inside collection. American fine enter smile help just town development. Front benefit prove week. Treatment hotel I entire eight bit kind.,product_question,low,pending,2026-01-20 00:00:00,
TICKET00133,USER00125,,Product complaint,Concern live authority bit he prevent pick father. Politics ahead phone force personal. South keep raise remember western machine.,payment,medium,resolved,2025-12-21 00:00:00,2025-12-24 00:00:00
TICKET00134,USER00170,ORD000888,Product complaint,"Step sound must budget their. They southern finally maintain record.
Imagine southern better population official. Allow between purpose leg. Nothing produce thought picture stock.",general,medium,resolved,2025-12-01 00:00:00,2025-12-03 08:00:00
TICKET00135,USER00473,,Return request,Yet create street above opportunity race example. Now want add moment prevent agreement soon. Organization civil not and I stock painting.,product_question,high,resolved,2025-07-21 00:00:00,2025-07-23 16:00:00
TICKET00136,USER00472,,Return request,"Account often agent than television shoulder memory.
A forward crime Mrs national.",order_issue,low,in_progress,2025-05-06 00:00:00,
TICKET00137,USER00597,ORD000135,Address change,Both especially give within. Wish yeah arrive able. Lawyer care production story.,general,medium,pending,2025-11-04 00:00:00,
TICKET00138,USER00496,ORD001410,Delivery issue,Power energy pressure positive staff best itself. Ago fly travel major debate recently change important.,order_issue,low,in_progress,2025-07-13 00:00:00,
TICKET00139,USER00406,ORD000780,Product question,"Foreign enjoy must special none. When list class evidence situation feeling school establish.
Success office company. Need sister wife get.",order_issue,low,resolved,2025-12-15 00:00:00,2025-12-15 05:00:00
TICKET00140,USER00290,ORD001650,Order cancellation,"Focus chair traditional can gas standard recently. Their instead agency reach environmental stand. Ability fund president.
Sister herself charge region. Per wonder experience low also.",product_question,medium,resolved,2025-06-25 00:00:00,2025-06-27 22:00:00
