snapshot_id,date,total_orders,total_revenue_egp,new_customers,new_brands,active_customers,avg_order_value_egp
SNAP20250930,2025-09-30,3,11408.24,1,0,96,3802.75
SNAP20251001,2025-10-01,4,17396.74,0,0,91,4349.19
SNAP20251002,2025-10-02,7,20488.22,0,1,108,2926.89
SNAP20251003,2025-10-03,3,10323.1,0,1,267,3441.03
SNAP20251004,2025-10-04,0,0.0,0,0,98,0.0
SNAP20251005,2025-10-05,5,12662.56,2,0,154,2532.51
SNAP20251006,2025-10-06,6,23907.3,1,0,204,3984.55
SNAP20251007,2025-10-07,7,15734.96,1,1,103,2247.85
SNAP20251008,2025-10-08,8,30973.14,1,0,260,3871.64
SNAP20251009,2025-10-09,9,24689.67,2,0,80,2743.3
SNAP20251010,2025-10-10,8,23811.43,3,1,212,2976.43
SNAP20251011,2025-10-11,5,19965.36,2,0,193,3993.07
SNAP20251012,2025-10-12,3,16666.42,2,0,54,5555.47
SNAP20251013,2025-10-13,5,6508.51,2,0,148,1301.7
SNAP20251014,2025-10-14,6,18124.49,1,0,93,3020.75
SNAP20251015,2025-10-15,2,9712.76,0,0,276,4856.38
SNAP20251016,2025-10-16,8,19672.95,0,1,60,2459.12
SNAP20251017,2025-10-17,5,6369.4,0,1,53,1273.88
SNAP20251018,2025-10-18,4,5138.13,1,0,250,1284.53
SNAP20251019,2025-10-19,3,6949.13,0,0,293,2316.38
SNAP20251020,2025-10-20,8,24096.43,1,0,177,3012.05
SNAP20251021,2025-10-21,6,26262.54,0,0,213,4377.09
SNAP20251022,2025-10-22,5,10722.53,1,0,100,2144.51
SNAP20251023,2025-10-23,8,32529.64,0,0,55,4066.2
SNAP20251024,2025-10-24,4,5798.14,1,0,290,1449.54
SNAP20251025,2025-10-25,6,18864.65,1,0,84,3144.11
SNAP20251026,2025-10-26,3,16275.25,0,0,257,5425.08
SNAP20251027,2025-10-27,0,0.0,1,0,116,0.0
SNAP20251028,2025-10-28,9,31398.33,0,0,251,3488.7
SNAP20251029,2025-10-29,6,21732.31,0,0,94,3622.05
SNAP20251030,2025-10-30,5,7713.02,1,0,281,1542.6
SNAP20251031,2025-10-31,6,31962.9,1,0,148,5327.15
SNAP20251101,2025-11-01,7,23578.86,1,0,216,3368.41
SNAP20251102,2025-11-02,7,35542.16,2,0,231,5077.45
SNAP20251103,2025-11-03,9,21468.57,0,0,158,2385.4
SNAP20251104,2025-11-04,12,33193.0,0,0,85,2766.08
SNAP20251105,2025-11-05,5,11076.88,1,1,116,2215.38
SNAP20251106,2025-11-06,5,18054.57,1,0,229,3610.91
SNAP20251107,2025-11-07,3,9391.02,1,0,256,3130.34
SNAP20251108,2025-11-08,3,7484.65,1,0,196,2494.88
SNAP20251109,2025-11-09,13,36073.25,1,0,165,2774.87
SNAP20251110,2025-11-10,6,15991.13,1,1,143,2665.19
SNAP20251111,2025-11-11,9,23005.38,0,0,111,2556.15
SNAP20251112,2025-11-12,8,17624.64,2,0,170,2203.08
SNAP20251113,2025-11-13,8,16902.33,0,0,291,2112.79
SNAP20251114,2025-11-14,6,22722.63,2,1,252,3787.11
SNAP20251115,2025-11-15,4,12182.58,0,0,238,3045.65
SNAP20251116,2025-11-16,7,17290.6,0,0,212,2470.09
SNAP20251117,2025-11-17,9,24988.79,1,1,123,2776.53
SNAP20251118,2025-11-18,14,42603.74,0,0,56,3043.12
SNAP20251119,2025-11-19,9,37429.13,0,1,228,4158.79
SNAP20251120,2025-11-20,7,29322.8,0,0,257,4188.97
SNAP20251121,2025-11-21,11,39428.43,1,0,133,3584.4
SNAP20251122,2025-11-22,6,14557.32,1,1,176,2426.22
SNAP20251123,2025-11-23,8,14923.88,1,0,276,1865.48
SNAP20251124,2025-11-24,12,37551.58,3,1,250,3129.3
SNAP20251125,2025-11-25,9,30323.28,2,0,226,3369.25
SNAP20251126,2025-11-26,10,28792.96,0,0,73,2879.3
SNAP20251127,2025-11-27,13,37797.26,0,0,256,2907.48
SNAP20251128,2025-11-28,17,50773.72,1,0,214,2986.69
SNAP20251129,2025-11-29,17,46201.23,0,0,245,2717.72
SNAP20251130,2025-11-30,9,25714.37,0,0,120,2857.15
SNAP20251201,2025-12-01,7,23503.91,1,0,128,3357.7
SNAP20251202,2025-12-02,6,10125.96,0,0,150,1687.66
SNAP20251203,2025-12-03,4,13550.41,0,0,292,3387.6
SNAP20251204,2025-12-04,14,52332.38,2,0,219,3738.03
SNAP20251205,2025-12-05,10,42261.88,0,0,296,4226.19
SNAP20251206,2025-12-06,14,52116.62,2,0,202,3722.62
SNAP20251207,2025-12-07,11,43260.66,1,0,144,3932.79
SNAP20251208,2025-12-08,13,53279.8,0,0,280,4098.45
SNAP20251209,2025-12-09,12,40371.38,3,1,154,3364.28
SNAP20251210,2025-12-10,12,27958.66,2,0,223,2329.89
SNAP20251211,2025-12-11,16,79701.92,1,0,248,4981.37
SNAP20251212,2025-12-12,11,44759.26,0,0,282,4069.02
SNAP20251213,2025-12-13,12,47884.41,1,0,176,3990.37
SNAP20251214,2025-12-14,7,20996.74,3,0,115,2999.53
SNAP20251215,2025-12-15,10,37635.17,2,1,62,3763.52
SNAP20251216,2025-12-16,13,40019.1,1,0,234,3078.39
SNAP20251217,2025-12-17,15,55537.43,1,0,147,3702.5
SNAP20251218,2025-12-18,14,23824.2,1,0,188,1701.73
SNAP20251219,2025-12-19,15,58308.49,1,0,281,3887.23
SNAP20251220,2025-12-20,17,48901.4,0,0,176,2876.55
SNAP20251221,2025-12-21,22,58416.06,2,0,251,2655.28
SNAP20251222,2025-12-22,16,45847.8,1,0,103,2865.49
SNAP20251223,2025-12-23,16,63334.54,1,0,142,3958.41
SNAP20251224,2025-12-24,23,74332.09,1,0,215,3231.83
SNAP20251225,2025-12-25,17,35162.08,1,0,127,2068.36
SNAP20251226,2025-12-26,16,41005.15,3,0,114,2562.82
SNAP20251227,2025-12-27,12,36241.29,1,0,290,3020.11
SNAP20251228,2025-12-28,18,60330.25,1,0,145,3351.68
SNAP20251229,2025-12-29,19,53171.81,0,0,106,2798.52
SNAP20251230,2025-12-30,19,48917.1,1,0,115,2574.58
SNAP20251231,2025-12-31,17,50787.69,0,0,134,2987.51
SNAP20260101,2026-01-01,24,73015.59,2,0,235,3042.32
SNAP20260102,2026-01-02,32,108459.3,1,0,66,3389.35
SNAP20260103,2026-01-03,15,52543.09,1,0,121,3502.87
SNAP20260104,2026-01-04,16,34316.33,2,0,147,2144.77
SNAP20260105,2026-01-05,22,57482.39,1,0,217,2612.84
SNAP20260106,2026-01-06,32,95958.98,3,0,159,2998.72
SNAP20260107,2026-01-07,20,78064.56,1,0,279,3903.23
SNAP20260108,2026-01-08,32,105594.84,2,0,190,3299.84
SNAP20260109,2026-01-09,22,57411.97,2,0,299,2609.64
SNAP20260110,2026-01-10,18,65356.3,0,0,187,3630.91
SNAP20260111,2026-01-11,24,78117.05,0,0,219,3254.88
SNAP20260112,2026-01-12,26,81347.8,0,0,260,3128.76
SNAP20260113,2026-01-13,23,71044.82,0,0,157,3088.91
SNAP20260114,2026-01-14,30,99373.66,0,0,140,3312.46
SNAP20260115,2026-01-15,26,67727.66,1,1,287,2604.91
SNAP20260116,2026-01-16,30,104264.45,1,0,273,3475.48
SNAP20260117,2026-01-17,26,79894.81,1,0,181,3072.88
SNAP20260118,2026-01-18,26,69449.72,1,0,100,2671.14
SNAP20260119,2026-01-19,37,103607.38,1,0,220,2800.2
SNAP20260120,2026-01-20,40,155461.38,1,0,241,3886.53
SNAP20260121,2026-01-21,37,122593.57,0,0,273,3313.34
SNAP20260122,2026-01-22,47,152883.12,2,0,118,3252.83
SNAP20260123,2026-01-23,37,107027.06,1,0,179,2892.62
SNAP20260124,2026-01-24,46,142124.76,0,0,100,3089.67
SNAP20260125,2026-01-25,39,107552.76,0,0,251,2757.76
SNAP20260126,2026-01-26,51,120301.85,0,0,125,2358.86
SNAP20260127,2026-01-27,0,0.0,0,0,193,0.0
