material_id,vendor_id,name,category,description,price_per_unit_egp,unit,min_order_quantity,stock_available,image_url,created_at
MAT0019,VEND004,Embroidery Thread,Natural Materials,Forget program including catch attack friend truth whose. Report behind us maybe. Level somebody air vote.,121.29,gram,5,841,https://cdn.talentree.eg/materials/mat_19.jpg,2025-02-17 00:00:00
MAT0020,VEND009,Raw Silver,Natural Materials,Write air different guess generation. Program blue cut report science. Suddenly large read increase. Old garden spend stock.,330.79,meter,7,149,https://cdn.talentree.eg/materials/mat_20.jpg,2025-03-13 00:00:00
MAT0021,VEND003,Egyptian Cotton Fabric,Leather & Textiles,Authority green son outside measure medical tonight training. Foreign everybody level market. Off early rise impact goal.,75.13,roll,4,174,https://cdn.talentree.eg/materials/mat_21.jpg,2024-11-05 00:00:00
MAT0022,VEND007,Seashells,Leather & Textiles,Provide seat eight teach leader. Tell baby thing truth movie join.,240.7,piece,5,683,https://cdn.talentree.eg/materials/mat_22.jpg,2023-09-11 00:00:00
MAT0023,VEND002,Jute Rope,Wood & Clay,Important relationship manage among very. A cause total total. Nearly near want citizen serve.,186.83,piece,7,395,https://cdn.talentree.eg/materials/mat_23.jpg,2025-05-15 00:00:00
MAT0024,VEND007,Wool Yarn,Wood & Clay,South stuff suffer open major almost end. Cut during hotel rise accept watch yes. Write thus president manager whom.,211.36,liter,3,28,https://cdn.talentree.eg/materials/mat_24.jpg,2024-03-17 00:00:00
MAT0025,VEND001,Raw Silver,Fabrics,"Whose song institution think. First worker since thus.
Foreign appear add bed family business firm.",284.28,meter,10,310,https://cdn.talentree.eg/materials/mat_25.jpg,2023-07-05 00:00:00
MAT0026,VEND005,Raw Silver,Fabrics,"Send discussion off wide never everybody. Blue most watch her attack.
Body where glass call. Pm pressure report grow attack beautiful total.",454.51,piece,3,479,https://cdn.talentree.eg/materials/mat_26.jpg,2025-11-20 00:00:00
MAT0027,VEND003,Raw Silver,Beads & Accessories,As consider north perform scene. Already raise set cause newspaper report quickly would. System already plan story success model.,9.51,kg,6,512,https://cdn.talentree.eg/materials/mat_27.jpg,2025-10-24 00:00:00
MAT0028,VEND006,Palm Leaves,Leather & Textiles,Real nothing daughter perhaps. Relationship Congress sell drug cold above business.,177.67,roll,9,399,https://cdn.talentree.eg/materials/mat_28.jpg,2024-11-07 00:00:00
MAT0029,VEND003,Genuine Leather,Leather & Textiles,"Carry region them professor need care almost direction. Most work know sound.
Group person traditional. Quickly actually individual her major.",329.68,piece,10,347,https://cdn.talentree.eg/materials/mat_29.jpg,2024-09-13 00:00:00
MAT0030,VEND009,Glass Beads,Beads & Accessories,"Director ground concern kitchen feel southern. Mother work follow result pressure way of.
Staff half bit understand.",393.56,roll,5,945,https://cdn.talentree.eg/materials/mat_30.jpg,2024-07-08 00:00:00
MAT0031,VEND001,Genuine Leather,Natural Materials,Wife name mean. Yeah teacher development its reflect. Service floor well appear.,324.34,liter,8,620,https://cdn.talentree.eg/materials/mat_31.jpg,2025-04-05 00:00:00
MAT0032,VEND001,Embroidery Thread,Oils & Herbs,Yet school traditional less help. Section hope claim upon memory place oil.,355.71,gram,9,265,https://cdn.talentree.eg/materials/mat_32.jpg,2023-10-11 00:00:00
MAT0033,VEND009,Natural Wax,Oils & Herbs,Choice rich week bed some white value reduce. Member recent term share.,477.82,piece,10,632,https://cdn.talentree.eg/materials/mat_33.jpg,2025-09-27 00:00:00
MAT0034,VEND000,Natural Clay,Fabrics,"Toward citizen character little for.
Across worker often sense week growth beyond stock. Once join cause crime single soldier arrive.",27.24,roll,3,237,https://cdn.talentree.eg/materials/mat_34.jpg,2023-09-07 00:00:00
MAT0035,VEND006,Wool Yarn,Wood & Clay,Level themselves degree decide however each. Family among light season whose charge show.,467.45,liter,6,778,https://cdn.talentree.eg/materials/mat_35.jpg,2024-01-24 00:00:00
MAT0036,VEND000,Raw Clay,Fabrics,"Wall article week better include.
Condition seem century ever student fill. Seek mouth former past unit. Charge time goal shake bit ability.",450.4,kg,7,773,https://cdn.talentree.eg/materials/mat_36.jpg,2024-08-04 00:00:00
MAT0037,VEND003,Genuine Leather,Fabrics,Energy process current stop person training. Through care fine authority agency home.,307.89,meter,1,867,https://cdn.talentree.eg/materials/mat_37.jpg,2025-07-07 00:00:00
MAT0038,VEND001,Genuine Leather,Wood & Clay,Reach series pattern. Agency during probably wrong police see.,382.86,gram,1,945,https://cdn.talentree.eg/materials/mat_38.jpg,2023-11-26 00:00:00
MAT0039,VEND000,Natural Wax,Fabrics,Ground president answer only. Catch suddenly their natural build spring. Parent coach who surface service local.,350.87,liter,3,652,https://cdn.talentree.eg/materials/mat_39.jpg,2025-01-08 00:00:00
MAT0040,VEND005,Seashells,Leather & Textiles,Economy however charge win night media example. Serve use win.,101.88,liter,8,695,https://cdn.talentree.eg/materials/mat_40.jpg,2024-03-19 00:00:00
MAT0041,VEND009,Raw Clay,Leather & Textiles,News pretty stop opportunity another. Speech four arm stop visit memory.,372.37,liter,9,828,https://cdn.talentree.eg/materials/mat_41.jpg,2025-08-17 00:00:00
MAT0042,VEND006,Beech Wood,Fabrics,Take act customer eight house. Reach trip morning forget value senior long. Out if watch kind despite.,293.14,roll,2,208,https://cdn.talentree.eg/materials/mat_42.jpg,2023-07-05 00:00:00
MAT0043,VEND002,Glass Beads,Fabrics,Ok similar bring adult how. Low kid car truth industry face.,182.98,liter,10,559,https://cdn.talentree.eg/materials/mat_43.jpg,2025-11-02 00:00:00
MAT0044,VEND008,Genuine Leather,Beads & Accessories,Activity what several group outside. Scientist think however miss. Word could outside next life door relate. Behavior effect special.,96.73,roll,9,508,https://cdn.talentree.eg/materials/mat_44.jpg,2023-12-12 00:00:00
MAT0045,VEND001,Beech Wood,Oils & Herbs,Police three all talk treatment source today me. Lead law attention rest well office beyond. Media Congress improve final audience allow.,414.65,gram,6,365,https://cdn.talentree.eg/materials/mat_45.jpg,2025-02-23 00:00:00
MAT0046,VEND009,Seashells,Natural Materials,Western old person identify point factor rest. Quality night friend happy let dinner.,73.25,meter,8,437,https://cdn.talentree.eg/materials/mat_46.jpg,2025-03-02 00:00:00
MAT0047,VEND005,Natural Clay,Natural Materials,"See able arrive safe already. Hard and draw technology but risk.
Know yeah main. In scientist computer no product form society child.",40.08,meter,3,801,https://cdn.talentree.eg/materials/mat_47.jpg,2024-11-11 00:00:00
MAT0048,VEND008,Essential Oils,Fabrics,Face difference after article under go west. Another building too important.,63.37,kg,1,615,https://cdn.talentree.eg/materials/mat_48.jpg,2024-12-05 00:00:00
MAT0049,VEND008,Natural Wax,Fabrics,Huge usually collection this alone scene find. How worker discussion at. Finally inside though call industry step himself.,115.89,piece,5,399,https://cdn.talentree.eg/materials/mat_49.jpg,2025-05-21 00:00:00
