request_id,brand_id,material_id,vendor_id,quantity,total_price_egp,status,request_date,delivery_date,notes
REQ00039,BRAND0085,MAT0030,VEND009,18,7084.08,completed,2025-11-08 00:00:00,2025-11-21 00:00:00,
REQ00040,BRAND0056,MAT0030,VEND009,8,3148.48,completed,2025-05-31 00:00:00,2025-06-11 00:00:00,Issue alone possible friend generation hand.
REQ00041,BRAND0022,MAT0033,VEND009,13,6211.66,pending,2025-12-28 00:00:00,,Song week their land weight away one.
REQ00042,BRAND0035,MAT0034,VEND000,29,789.96,pending,2025-04-19 00:00:00,,
REQ00043,BRAND0056,MAT0001,VEND004,13,3906.89,pending,2025-07-07 00:00:00,,There economy free at without lawyer cup.
REQ00044,BRAND0015,MAT0049,VEND008,32,3708.48,pending,2025-11-02 00:00:00,,Southern free position protect person.
REQ00045,BRAND0092,MAT0030,VEND009,8,3148.48,completed,2026-01-21 00:00:00,2026-02-01 00:00:00,
REQ00046,BRAND0085,MAT0036,VEND000,43,19367.2,completed,2025-12-21 00:00:00,2026-01-02 00:00:00,Institution city culture especially shake however raise.
REQ00047,BRAND0072,MAT0025,VEND001,76,21605.28,completed,2025-08-24 00:00:00,2025-09-02 00:00:00,
REQ00048,BRAND0035,MAT0001,VEND004,40,12021.2,completed,2025-02-11 00:00:00,2025-02-18 00:00:00,Floor voice source it.
REQ00049,BRAND0060,MAT0016,VEND000,45,1720.8,completed,2025-05-01 00:00:00,2025-05-12 00:00:00,
REQ00050,BRAND0025,MAT0023,VEND002,57,10649.31,processing,2025-11-26 00:00:00,,
REQ00051,BRAND0016,MAT0022,VEND007,22,5295.4,processing,2025-07-30 00:00:00,,Eat speech camera push energy these.
REQ00052,BRAND0043,MAT0049,VEND008,43,4983.27,completed,2024-07-04 00:00:00,2024-07-11 00:00:00,
REQ00053,BRAND0092,MAT0018,VEND004,25,4960.0,completed,2025-11-12 00:00:00,2025-11-22 00:00:00,
REQ00054,BRAND0097,MAT0006,VEND009,64,13641.6,completed,2024-10-12 00:00:00,2024-10-15 00:00:00,Although put believe writer blue month board.
REQ00055,BRAND0053,MAT0041,VEND009,70,26065.9,processing,2025-12-30 00:00:00,,
REQ00056,BRAND0018,MAT0031,VEND001,15,4865.1,completed,2025-08-04 00:00:00,2025-08-11 00:00:00,Result authority next evening similar new they probably.
REQ00057,BRAND0005,MAT0036,VEND000,47,21168.8,completed,2024-05-26 00:00:00,2024-05-31 00:00:00,
REQ00058,BRAND0032,MAT0042,VEND006,10,2931.4,completed,2025-08-07 00:00:00,2025-08-12 00:00:00,
REQ00059,BRAND0030,MAT0038,VEND001,3,1148.58,processing,2024-12-29 00:00:00,,
REQ00060,BRAND0036,MAT0025,VEND001,39,11086.92,processing,2024-11-17 00:00:00,,
REQ00061,BRAND0062,MAT0016,VEND000,97,3709.28,completed,2026-01-04 00:00:00,2026-01-16 00:00:00,
REQ00062,BRAND0017,MAT0016,VEND000,80,3059.2,completed,2026-01-11 00:00:00,2026-01-14 00:00:00,Language so few program true.
REQ00063,BRAND0000,MAT0017,VEND003,41,5222.17,completed,2025-11-17 00:00:00,2025-11-30 00:00:00,Special thus middle maintain.
REQ00064,BRAND0007,MAT0043,VEND002,55,10063.9,pending,2025-12-25 00:00:00,,
REQ00065,BRAND0081,MAT0045,VEND001,21,8707.65,completed,2025-09-07 00:00:00,2025-09-11 00:00:00,
REQ00066,BRAND0080,MAT0026,VEND005,6,2727.06,completed,2025-07-10 00:00:00,2025-07-16 00:00:00,
REQ00067,BRAND0013,MAT0020,VEND009,54,17862.66,completed,2025-08-04 00:00:00,2025-08-17 00:00:00,
REQ00068,BRAND0098,MAT0045,VEND001,24,9951.6,completed,2025-01-05 00:00:00,2025-01-13 00:00:00,
REQ00069,BRAND0057,MAT0043,VEND002,56,10246.88,completed,2025-12-06 00:00:00,2025-12-19 00:00:00,
REQ00070,BRAND0081,MAT0012,VEND008,24,3572.16,completed,2025-11-16 00:00:00,2025-11-21 00:00:00,
REQ00071,BRAND0091,MAT0025,VEND001,47,13361.16,processing,2025-10-22 00:00:00,,
REQ00072,BRAND0038,MAT0033,VEND009,87,41570.34,completed,2024-09-12 00:00:00,2024-09-23 00:00:00,Economic road miss adult middle southern part activity.
REQ00073,BRAND0060,MAT0019,VEND004,37,4487.73,pending,2026-01-10 00:00:00,,
REQ00074,BRAND0050,MAT0011,VEND002,8,1109.92,processing,2025-10-13 00:00:00,,
REQ00075,BRAND0044,MAT0015,VEND001,3,947.94,pending,2025-06-24 00:00:00,,Among building administration describe Republican agent yes.
REQ00076,BRAND0009,MAT0049,VEND008,10,1158.9,completed,2025-08-16 00:00:00,2025-08-28 00:00:00,
REQ00077,BRAND0013,MAT0040,VEND005,78,7946.64,completed,2025-08-07 00:00:00,2025-08-21 00:00:00,
REQ00078,BRAND0055,MAT0000,VEND009,13,4431.18,processing,2025-12-23 00:00:00,,
REQ00079,BRAND0025,MAT0043,VEND002,66,12076.68,completed,2026-01-01 00:00:00,2026-01-07 00:00:00,Stuff both return answer heavy we determine.
REQ00080,BRAND0025,MAT0020,VEND009,44,14554.76,completed,2025-12-23 00:00:00,2025-12-29 00:00:00,Result price special option also continue black.
REQ00081,BRAND0011,MAT0028,VEND006,55,9771.85,completed,2025-08-23 00:00:00,2025-08-31 00:00:00,Yourself best reduce nothing individual.
REQ00082,BRAND0030,MAT0028,VEND006,23,4086.41,completed,2025-10-04 00:00:00,2025-10-14 00:00:00,Whether avoid tree they.
REQ00083,BRAND0024,MAT0002,VEND001,30,8735.7,completed,2025-05-21 00:00:00,2025-05-29 00:00:00,
REQ00084,BRAND0042,MAT0048,VEND008,2,126.74,processing,2025-09-17 00:00:00,,
REQ00085,BRAND0027,MAT0024,VEND007,10,2113.6,completed,2025-06-17 00:00:00,2025-06-23 00:00:00,
REQ00086,BRAND0058,MAT0006,VEND009,24,5115.6,completed,2025-11-12 00:00:00,2025-11-21 00:00:00,
REQ00087,BRAND0099,MAT0017,VEND003,25,3184.25,completed,2025-10-16 00:00:00,2025-10-23 00:00:00,
REQ00088,BRAND0079,MAT0040,VEND005,23,2343.24,completed,2024-06-25 00:00:00,2024-07-04 00:00:00,
REQ00089,BRAND0065,MAT0026,VEND005,7,3181.57,completed,2026-01-14 00:00:00,2026-01-27 00:00:00,While stop simply certain boy relationship.
REQ00090,BRAND0068,MAT0016,VEND000,35,1338.4,completed,2025-01-30 00:00:00,2025-02-02 00:00:00,
REQ00091,BRAND0031,MAT0008,VEND008,63,16288.02,pending,2024-12-29 00:00:00,,
REQ00092,BRAND0005,MAT0038,VEND001,8,3062.88,completed,2024-07-03 00:00:00,2024-07-06 00:00:00,Not tell however city lead speak.
REQ00093,BRAND0033,MAT0042,VEND006,2,586.28,completed,2025-06-09 00:00:00,2025-06-14 00:00:00,
REQ00094,BRAND0082,MAT0016,VEND000,77,2944.48,completed,2025-11-20 00:00:00,2025-11-28 00:00:00,
REQ00095,BRAND0035,MAT0045,VEND001,50,20732.5,completed,2025-09-17 00:00:00,2025-10-01 00:00:00,
REQ00096,BRAND0030,MAT0027,VEND003,27,256.77,completed,2026-01-17 00:00:00,2026-01-29 00:00:00,
REQ00097,BRAND0001,MAT0012,VEND008,12,1786.08,completed,2025-09-07 00:00:00,2025-09-21 00:00:00,Meeting nice stuff once real fly avoid common.
REQ00098,BRAND0094,MAT0017,VEND003,65,8279.05,completed,2026-01-12 00:00:00,2026-01-25 00:00:00,
REQ00099,BRAND0067,MAT0016,VEND000,65,2485.6,pending,2025-09-14 00:00:00,,
REQ00100,BRAND0027,MAT0016,VEND000,27,1032.48,pending,2024-09-18 00:00:00,,Technology chance each.
REQ00101,BRAND0035,MAT0021,VEND003,36,2704.68,completed,2025-01-17 00:00:00,2025-01-20 00:00:00,
REQ00102,BRAND0078,MAT0006,VEND009,55,11723.25,completed,2026-01-16 00:00:00,2026-01-24 00:00:00,
REQ00103,BRAND0074,MAT0042,VEND006,18,5276.52,processing,2025-10-29 00:00:00,,
REQ00104,BRAND0042,MAT0004,VEND002,5,478.85,completed,2025-07-12 00:00:00,2025-07-22 00:00:00,
REQ00105,BRAND0038,MAT0005,VEND009,42,6722.52,completed,2025-07-23 00:00:00,2025-08-04 00:00:00,
REQ00106,BRAND0063,MAT0032,VEND001,63,22409.73,completed,2025-05-24 00:00:00,2025-06-02 00:00:00,
REQ00107,BRAND0043,MAT0049,VEND008,16,1854.24,completed,2024-11-15 00:00:00,2024-11-29 00:00:00,Rich employee item individual.
REQ00108,BRAND0014,MAT0007,VEND009,36,7680.6,completed,2025-05-14 00:00:00,2025-05-21 00:00:00,
REQ00109,BRAND0048,MAT0047,VEND005,22,881.76,completed,2025-09-05 00:00:00,2025-09-13 00:00:00,
REQ00110,BRAND0052,MAT0009,VEND005,6,2273.34,completed,2025-05-06 00:00:00,2025-05-16 00:00:00,
REQ00111,BRAND0072,MAT0025,VEND001,31,8812.68,completed,2025-08-31 00:00:00,2025-09-12 00:00:00,Many top build information great sure.
REQ00112,BRAND0043,MAT0049,VEND008,19,2201.91,completed,2025-04-03 00:00:00,2025-04-07 00:00:00,
REQ00113,BRAND0081,MAT0038,VEND001,9,3445.74,completed,2025-12-20 00:00:00,2025-12-23 00:00:00,
REQ00114,BRAND0090,MAT0025,VEND001,15,4264.2,completed,2025-12-28 00:00:00,2026-01-08 00:00:00,Place decision experience offer generation arm dog.
REQ00115,BRAND0073,MAT0034,VEND000,3,81.72,completed,2025-06-04 00:00:00,2025-06-12 00:00:00,
REQ00116,BRAND0029,MAT0044,VEND008,82,7931.86,pending,2026-01-07 00:00:00,,
REQ00117,BRAND0025,MAT0006,VEND009,24,5115.6,completed,2026-01-19 00:00:00,2026-01-23 00:00:00,Now send fact beyond establish always history.
REQ00118,BRAND0089,MAT0049,VEND008,12,1390.68,completed,2025-07-11 00:00:00,2025-07-21 00:00:00,
REQ00119,BRAND0098,MAT0027,VEND003,14,133.14,pending,2025-05-24 00:00:00,,
REQ00120,BRAND0081,MAT0023,VEND002,52,9715.16,completed,2026-01-01 00:00:00,2026-01-15 00:00:00,There couple thought shoulder suggest age you.
REQ00121,BRAND0018,MAT0025,VEND001,19,5401.32,completed,2025-03-28 00:00:00,2025-04-08 00:00:00,
REQ00122,BRAND0007,MAT0012,VEND008,35,5209.4,pending,2026-01-05 00:00:00,,
REQ00123,BRAND0036,MAT0020,VEND009,16,5292.64,completed,2025-06-10 00:00:00,2025-06-19 00:00:00,
REQ00124,BRAND0088,MAT0042,VEND006,18,5276.52,completed,2025-07-18 00:00:00,2025-07-29 00:00:00,
REQ00125,BRAND0080,MAT0037,VEND003,1,307.89,processing,2025-09-11 00:00:00,,
REQ00126,BRAND0099,MAT0004,VEND002,6,574.62,completed,2025-09-26 00:00:00,2025-10-02 00:00:00,
REQ00127,BRAND0096,MAT0022,VEND007,21,5054.7,completed,2025-11-15 00:00:00,2025-11-25 00:00:00,Throw without need majority effort.
REQ00128,BRAND0022,MAT0037,VEND003,8,2463.12,completed,2025-07-14 00:00:00,2025-07-20 00:00:00,
REQ00129,BRAND0062,MAT0023,VEND002,18,3362.94,pending,2026-01-09 00:00:00,,Including throughout prove notice.
REQ00130,BRAND0006,MAT0025,VEND001,10,2842.8,completed,2026-01-11 00:00:00,2026-01-21 00:00:00,
REQ00131,BRAND0050,MAT0043,VEND002,36,6587.28,completed,2026-01-06 00:00:00,2026-01-09 00:00:00,
REQ00132,BRAND0038,MAT0016,VEND000,43,1644.32,completed,2025-10-29 00:00:00,2025-11-11 00:00:00,
REQ00133,BRAND0019,MAT0016,VEND000,91,3479.84,completed,2025-12-19 00:00:00,2025-12-30 00:00:00,
REQ00134,BRAND0032,MAT0023,VEND002,30,5604.9,completed,2025-08-28 00:00:00,2025-09-04 00:00:00,
REQ00135,BRAND0015,MAT0017,VEND003,70,8915.9,completed,2025-12-24 00:00:00,2026-01-05 00:00:00,
REQ00136,BRAND0011,MAT0028,VEND006,70,12436.9,completed,2025-09-08 00:00:00,2025-09-14 00:00:00,
REQ00137,BRAND0027,MAT0032,VEND001,45,16006.95,completed,2025-05-18 00:00:00,2025-05-26 00:00:00,
REQ00138,BRAND0028,MAT0045,VEND001,33,13683.45,completed,2024-07-07 00:00:00,2024-07-17 00:00:00,Majority fly however mean actually follow.
REQ00139,BRAND0047,MAT0032,VEND001,23,8181.33,processing,2025-12-16 00:00:00,,
REQ00140,BRAND0030,MAT0044,VEND008,25,2418.25,completed,2025-11-15 00:00:00,2025-11-25 00:00:00,
REQ00141,BRAND0042,MAT0031,VEND001,38,12324.92,completed,2025-03-30 00:00:00,2025-04-06 00:00:00,
REQ00142,BRAND0077,MAT0016,VEND000,62,2370.88,processing,2025-04-24 00:00:00,,Customer early this already despite even spring.
REQ00143,BRAND0029,MAT0042,VEND006,10,2931.4,completed,2025-12-24 00:00:00,2026-01-02 00:00:00,Subject push listen most north.
REQ00144,BRAND0002,MAT0010,VEND004,62,25091.4,completed,2025-09-25 00:00:00,2025-09-28 00:00:00,
REQ00145,BRAND0048,MAT0007,VEND009,38,8107.3,processing,2025-09-11 00:00:00,,By commercial item him herself cultural have.
REQ00146,BRAND0068,MAT0021,VEND003,23,1727.99,completed,2025-06-16 00:00:00,2025-06-22 00:00:00,
REQ00147,BRAND0014,MAT0008,VEND008,31,8014.74,completed,2025-08-30 00:00:00,2025-09-12 00:00:00,
REQ00148,BRAND0092,MAT0002,VEND001,25,7279.75,processing,2025-10-26 00:00:00,,
REQ00149,BRAND0014,MAT0040,VEND005,10,1018.8,completed,2025-03-23 00:00:00,2025-04-06 00:00:00,
REQ00150,BRAND0063,MAT0023,VEND002,52,9715.16,completed,2025-10-08 00:00:00,2025-10-21 00:00:00,
REQ00151,BRAND0044,MAT0017,VEND003,34,4330.58,completed,2025-06-04 00:00:00,2025-06-10 00:00:00,Increase center learn read catch increase door south.
REQ00152,BRAND0088,MAT0025,VEND001,78,22173.84,pending,2025-10-06 00:00:00,,
REQ00153,BRAND0098,MAT0017,VEND003,28,3566.36,completed,2025-08-29 00:00:00,2025-09-07 00:00:00,
REQ00154,BRAND0030,MAT0021,VEND003,19,1427.47,completed,2024-10-21 00:00:00,2024-10-24 00:00:00,Future town but day science region yourself.
REQ00155,BRAND0086,MAT0022,VEND007,38,9146.6,completed,2025-04-21 00:00:00,2025-04-30 00:00:00,Play like night security week claim.
REQ00156,BRAND0089,MAT0005,VEND009,8,1280.48,completed,2024-09-19 00:00:00,2024-09-26 00:00:00,
REQ00157,BRAND0074,MAT0018,VEND004,45,8928.0,processing,2025-11-24 00:00:00,,
REQ00158,BRAND0068,MAT0004,VEND002,10,957.7,completed,2025-11-17 00:00:00,2025-11-26 00:00:00,
REQ00159,BRAND0079,MAT0041,VEND009,25,9309.25,completed,2025-01-04 00:00:00,2025-01-08 00:00:00,
REQ00160,BRAND0018,MAT0024,VEND007,26,5495.36,pending,2025-10-07 00:00:00,,Thus adult team market.
REQ00161,BRAND0097,MAT0031,VEND001,10,3243.4,pending,2024-10-15 00:00:00,,Inside nor guy.
REQ00162,BRAND0009,MAT0018,VEND004,43,8531.2,completed,2025-09-04 00:00:00,2025-09-18 00:00:00,
REQ00163,BRAND0054,MAT0040,VEND005,58,5909.04,processing,2024-12-31 00:00:00,,Card hit serve.
REQ00164,BRAND0038,MAT0041,VEND009,50,18618.5,completed,2025-04-19 00:00:00,2025-05-03 00:00:00,
REQ00165,BRAND0056,MAT0034,VEND000,11,299.64,completed,2025-11-04 00:00:00,2025-11-08 00:00:00,
REQ00166,BRAND0037,MAT0025,VEND001,93,26438.04,completed,2025-08-03 00:00:00,2025-08-12 00:00:00,
REQ00167,BRAND0036,MAT0039,VEND000,5,1754.35,completed,2025-03-07 00:00:00,2025-03-18 00:00:00,
REQ00168,BRAND0076,MAT0018,VEND004,23,4563.2,completed,2026-01-15 00:00:00,2026-01-21 00:00:00,
REQ00169,BRAND0036,MAT0006,VEND009,71,15133.65,completed,2025-08-30 00:00:00,2025-09-10 00:00:00,Environment development half degree believe.
REQ00170,BRAND0040,MAT0036,VEND000,64,28825.6,processing,2025-12-08 00:00:00,,Recent perform air describe wear.
REQ00171,BRAND0041,MAT0038,VEND001,7,2680.02,completed,2025-03-09 00:00:00,2025-03-17 00:00:00,
REQ00172,BRAND0038,MAT0045,VEND001,12,4975.8,completed,2025-11-28 00:00:00,2025-12-06 00:00:00,
REQ00173,BRAND0012,MAT0013,VEND006,2,588.78,processing,2024-04-10 00:00:00,,
REQ00174,BRAND0032,MAT0043,VEND002,72,13174.56,completed,2025-08-02 00:00:00,2025-08-07 00:00:00,
REQ00175,BRAND0097,MAT0026,VEND005,29,13180.79,completed,2025-06-07 00:00:00,2025-06-21 00:00:00,Still issue production interview.
REQ00176,BRAND0064,MAT0036,VEND000,36,16214.4,pending,2025-08-06 00:00:00,,
REQ00177,BRAND0030,MAT0024,VEND007,16,3381.76,pending,2025-03-23 00:00:00,,
REQ00178,BRAND0051,MAT0007,VEND009,29,6187.15,completed,2025-02-21 00:00:00,2025-03-07 00:00:00,
REQ00179,BRAND0066,MAT0040,VEND005,60,6112.8,completed,2024-12-28 00:00:00,2025-01-11 00:00:00,
REQ00180,BRAND0068,MAT0019,VEND004,40,4851.6,completed,2025-12-10 00:00:00,2025-12-21 00:00:00,
REQ00181,BRAND0078,MAT0026,VEND005,23,10453.73,completed,2025-12-19 00:00:00,2025-12-29 00:00:00,Task PM thousand instead main seat likely.
REQ00182,BRAND0038,MAT0003,VEND000,18,1867.68,pending,2025-08-30 00:00:00,,Seem Republican best product.
REQ00183,BRAND0056,MAT0029,VEND003,20,6593.6,completed,2024-11-07 00:00:00,2024-11-21 00:00:00,
REQ00184,BRAND0008,MAT0023,VEND002,23,4297.09,completed,2024-08-17 00:00:00,2024-08-28 00:00:00,Far necessary meeting east.
REQ00185,BRAND0071,MAT0040,VEND005,29,2954.52,completed,2024-12-23 00:00:00,2024-12-27 00:00:00,
REQ00186,BRAND0020,MAT0028,VEND006,63,11193.21,completed,2026-01-22 00:00:00,2026-02-04 00:00:00,Suffer community adult be national light little.
REQ00187,BRAND0070,MAT0046,VEND009,70,5127.5,pending,2025-06-06 00:00:00,,Send popular could value usually central foot option.
REQ00188,BRAND0026,MAT0011,VEND002,15,2081.1,completed,2025-04-16 00:00:00,2025-04-23 00:00:00,
REQ00189,BRAND0092,MAT0026,VEND005,12,5454.12,processing,2026-01-10 00:00:00,,
REQ00190,BRAND0043,MAT0031,VEND001,49,15892.66,processing,2025-07-07 00:00:00,,
REQ00191,BRAND0009,MAT0036,VEND000,25,11260.0,completed,2025-10-10 00:00:00,2025-10-23 00:00:00,
REQ00192,BRAND0008,MAT0041,VEND009,87,32396.19,completed,2025-08-19 00:00:00,2025-08-31 00:00:00,
REQ00193,BRAND0072,MAT0016,VEND000,69,2638.56,completed,2025-08-11 00:00:00,2025-08-25 00:00:00,Can enough growth share local show lay edge.
REQ00194,BRAND0087,MAT0047,VEND005,30,1202.4,completed,2025-06-10 00:00:00,2025-06-21 00:00:00,Purpose answer yet probably miss theory cost.
REQ00195,BRAND0054,MAT0003,VEND000,17,1763.92,completed,2024-09-28 00:00:00,2024-10-07 00:00:00,
REQ00196,BRAND0031,MAT0010,VEND004,68,27519.6,completed,2024-06-11 00:00:00,2024-06-18 00:00:00,Very example finally yet.
REQ00197,BRAND0068,MAT0042,VEND006,8,2345.12,completed,2025-10-20 00:00:00,2025-10-31 00:00:00,
REQ00198,BRAND0011,MAT0037,VEND003,2,615.78,processing,2025-07-10 00:00:00,,
REQ00199,BRAND0090,MAT0000,VEND009,27,9203.22,completed,2024-11-01 00:00:00,2024-11-14 00:00:00,
