review_id,rating,sentiment,sentiment_score,confidence
REV00295,5,positive,0.922,0.844
REV00296,5,positive,0.929,0.859
REV00297,3,positive,0.601,0.202
REV00298,3,positive,0.85,0.7
REV00299,5,positive,0.916,0.831
REV00300,5,positive,0.812,0.624
REV00301,5,positive,0.812,0.624
REV00302,4,positive,0.952,0.904
REV00303,5,positive,0.922,0.844
REV00304,2,negative,0.209,0.581
REV00305,4,positive,0.952,0.904
REV00306,4,positive,0.922,0.844
REV00307,5,positive,0.952,0.904
REV00308,5,positive,0.812,0.624
REV00309,5,positive,0.952,0.904
REV00310,5,positive,0.812,0.624
REV00311,5,positive,0.812,0.624
REV00312,4,positive,0.952,0.904
REV00313,5,positive,0.922,0.844
REV00314,5,positive,0.922,0.844
REV00315,5,positive,0.952,0.904
REV00316,5,positive,0.929,0.859
REV00317,4,positive,0.922,0.844
REV00318,3,positive,0.85,0.7
REV00319,5,positive,0.929,0.859
REV00320,4,positive,0.922,0.844
REV00321,4,positive,0.929,0.859
REV00322,5,positive,0.952,0.904
REV00323,3,positive,0.85,0.7
REV00324,2,positive,0.613,0.226
REV00325,4,positive,0.916,0.831
REV00326,4,positive,0.812,0.624
REV00327,4,positive,0.922,0.844
REV00328,5,positive,0.929,0.859
REV00329,1,positive,0.613,0.226
REV00330,5,positive,0.929,0.859
REV00331,5,positive,0.812,0.624
REV00332,5,positive,0.929,0.859
REV00333,3,positive,0.601,0.202
REV00334,3,positive,0.85,0.7
REV00335,4,positive,0.812,0.624
REV00336,3,neutral,0.5,0.0
REV00337,5,positive,0.952,0.904
REV00338,4,positive,0.916,0.831
REV00339,2,positive,0.686,0.372
REV00340,5,positive,0.916,0.831
REV00341,4,positive,0.916,0.831
REV00342,3,positive,0.85,0.7
REV00343,1,positive,0.686,0.372
REV00344,3,positive,0.601,0.202
REV00345,4,positive,0.952,0.904
REV00346,2,positive,0.613,0.226
REV00347,2,positive,0.72,0.44
REV00348,4,positive,0.916,0.831
REV00349,2,positive,0.686,0.372
REV00350,4,positive,0.916,0.831
REV00351,5,positive,0.952,0.904
REV00352,2,positive,0.72,0.44
REV00353,5,positive,0.922,0.844
REV00354,4,positive,0.929,0.859
REV00355,5,positive,0.952,0.904
REV00356,4,positive,0.952,0.904
REV00357,5,positive,0.812,0.624
REV00358,2,positive,0.613,0.226
REV00359,5,positive,0.952,0.904
REV00360,2,negative,0.209,0.581
REV00361,5,positive,0.922,0.844
REV00362,5,positive,0.929,0.859
REV00363,1,positive,0.613,0.226
REV00364,3,negative,0.454,0.092
REV00365,5,positive,0.952,0.904
REV00366,4,positive,0.952,0.904
REV00367,3,positive,0.85,0.7
REV00368,5,positive,0.922,0.844
REV00369,3,positive,0.85,0.7
REV00370,5,positive,0.929,0.859
REV00371,5,positive,0.812,0.624
REV00372,2,negative,0.209,0.581
REV00373,4,positive,0.952,0.904
REV00374,5,positive,0.952,0.904
REV00375,2,negative,0.209,0.581
REV00376,4,positive,0.812,0.624
REV00377,3,positive,0.85,0.7
REV00378,4,positive,0.952,0.904
REV00379,3,neutral,0.5,0.0
REV00380,5,positive,0.929,0.859
REV00381,4,positive,0.916,0.831
REV00382,5,positive,0.929,0.859
REV00383,4,positive,0.952,0.904
REV00384,4,positive,0.922,0.844
REV00385,3,negative,0.454,0.092
REV00386,5,positive,0.812,0.624
REV00387,4,positive,0.922,0.844
REV00388,3,neutral,0.5,0.0
REV00389,4,positive,0.812,0.624
REV00390,5,positive,0.952,0.904
REV00391,3,positive,0.601,0.202
REV00392,5,positive,0.916,0.831
REV00393,3,positive,0.601,0.202
REV00394,5,positive,0.916,0.831
REV00395,5,positive,0.922,0.844
REV00396,3,neutral,0.5,0.0
REV00397,4,positive,0.916,0.831
REV00398,3,positive,0.601,0.202
REV00399,5,positive,0.922,0.844
